apiname_guess,key_lower,role,win_rate_role,pick_rate_role,ban_rate_role,role_rate,tier_role,rank_role,counters_ids,counters_wr
Morgana,morgana,MID,0.53042,0.04900279999999999,0.323784,0.312316,1,1,950;133;10,0.4425;0.4811;0.4864
Briar,briar,JUNGLE,0.528462,0.0518046,0.109624,0.912789,1,2,33;24;25,0.4793;0.4831;0.4852
Milio,milio,SUPPORT,0.527022,0.0672147,0.0624479,0.997623,1,2,37,0.4938
Brand,brand,SUPPORT,0.523227,0.0442538,0.04707059999999999,0.64366,1,4,7;142;101,0.4682;0.4845;0.4851
Sett,sett,TOP,0.523161,0.0845231,0.060842900000000005,0.909541,1,2,54;27;67,0.4838;0.4872;0.4902
Amumu,amumu,JUNGLE,0.522804,0.04380599999999999,0.030886199999999996,0.866891,1,7,25;36;63,0.4736;0.4875;0.4895
Garen,garen,TOP,0.52242,0.0928471,0.0641983,0.917733,1,1,10;67;133,0.4572;0.4706;0.4740
Malphite,malphite,TOP,0.522332,0.0750243,0.112518,0.678596,1,3,36;14;31,0.4526;0.4560;0.4599
Jax,jax,JUNGLE,0.52112,0.0637,0.127521,0.483406,1,3,63;25;36,0.4677;0.4758;0.4788
Warwick,warwick,JUNGLE,0.520196,0.0626877,0.11280200000000001,0.754434,1,4,25;33;24,0.4720;0.4781;0.4800
Veigar,veigar,MID,0.519972,0.0616212,0.0286068,0.775927,1,3,101;10;31,0.4751;0.4780;0.4838
Nami,nami,SUPPORT,0.519315,0.0776237,0.0154009,0.998054,1,3,32;63;902,0.4913;0.4919;0.4955
Morgana,morgana,SUPPORT,0.517619,0.091906,0.323836,0.585757,1,1,902;17;37,0.4670;0.4752;0.4844
Malzahar,malzahar,MID,0.517492,0.0767468,0.153316,0.890733,1,2,14;10;901,0.4357;0.4614;0.4692
Diana,diana,JUNGLE,0.516778,0.0916812,0.13496,0.665821,1,1,233;11;19,0.4683;0.4805;0.4814
Mordekaiser,mordekaiser,TOP,0.516373,0.08260519999999999,0.15512,0.888077,1,4,27;74;67,0.4663;0.4722;0.4746
Diana,diana,MID,0.515853,0.0440734,0.13495,0.320076,1,5,14;50;31,0.4377;0.4652;0.4696
Volibear,volibear,JUNGLE,0.51461,0.0529586,0.0882156,0.646756,1,9,25;24;63,0.4671;0.4753;0.4797
Jinx,jinx,ADC,0.514201,0.179944,0.0751141,0.993242,1,1,45;115;800,0.4678;0.4853;0.4911
Fizz,fizz,MID,0.514063,0.0517445,0.0815528,0.92915,1,6,38;127;74,0.4688;0.4691;0.4721
Ashe,ashe,ADC,0.513349,0.151028,0.111167,0.91239,1,2,45;115;96,0.4801;0.4819;0.4834
Miss Fortune,missfortune,ADC,0.510438,0.137893,0.0489505,0.943054,1,4,895;115;45,0.4691;0.4772;0.4778
Master Yi,masteryi,JUNGLE,0.509994,0.0839472,0.164633,0.923984,1,6,33;24;32,0.4465;0.4599;0.4717
Viego,viego,JUNGLE,0.507564,0.106273,0.090148,0.965314,1,5,33;32;24,0.4574;0.4691;0.4718
Kayn,kayn,JUNGLE,0.505537,0.08627259999999999,0.0788015,0.91236,1,8,143;11;25,0.4717;0.4747;0.4769
Caitlyn,caitlyn,ADC,0.500726,0.204545,0.209533,0.964278,1,3,45;115;800,0.4467;0.4594;0.4805
Yasuo,yasuo,MID,0.500576,0.101317,0.213251,0.695465,1,4,85;54;10,0.4254;0.4488;0.4514
Kayle,kayle,MID,0.527435,0.0113979,0.0258311,0.235868,2,23,80;54;134,0.4734;0.4805;0.4826
Naafiri,naafiri,MID,0.52504,0.0175952,0.0521072,0.37458,2,13,74;14;10,0.4424;0.4483;0.4566
Kog'Maw,kogmaw,ADC,0.524931,0.0216545,0.0122393,0.877275,2,10,45;115;895,0.4715;0.4868;0.4923
Rammus,rammus,JUNGLE,0.524757,0.0211057,0.0477006,0.882811,2,13,876;102;106,0.4521;0.4729;0.4730
Malphite,malphite,MID,0.524381,0.0140147,0.112395,0.126763,2,17,50;517;161,0.4232;0.4498;0.4524
Ziggs,ziggs,ADC,0.521515,0.0272367,0.0140887,0.62037,2,9,67;895,0.4775;0.4974
Vel'Koz,velkoz,MID,0.520263,0.0151266,0.0175561,0.280021,2,25,38;101;950,0.4730;0.4743;0.4805
Zyra,zyra,SUPPORT,0.520011,0.0439821,0.046352599999999994,0.80797,2,6,902;101;17,0.4772;0.4949;0.4973
Yorick,yorick,TOP,0.519396,0.052526,0.142749,0.893343,2,5,39;19;777,0.4723;0.4767;0.4795
Soraka,soraka,SUPPORT,0.516986,0.047915200000000005,0.0236013,0.982413,2,8,143;267;902,0.4859;0.4899;0.4906
Xerath,xerath,MID,0.516389,0.0362643,0.0882357,0.4682,2,8,950;91;105,0.4610;0.4670;0.4672
Vayne,vayne,ADC,0.516097,0.0721136,0.0626897,0.780343,2,6,45;895;96,0.4913;0.4920;0.4944
Sion,sion,TOP,0.515747,0.058567400000000006,0.0203769,0.802554,2,6,27;36;240,0.4732;0.4761;0.4773
Dr. Mundo,drmundo,TOP,0.513437,0.0572227,0.0716954,0.791466,2,7,240;83;39,0.4499;0.4511;0.4609
Smolder,smolder,ADC,0.513114,0.0914306,0.0445636,0.805052,2,5,45;800;115,0.4710;0.4719;0.4899
Leona,leona,SUPPORT,0.509856,0.0751346,0.0814557,0.993843,2,5,44;25;902,0.4613;0.4677;0.4732
Lux,lux,MID,0.50942,0.0455778,0.13603,0.275526,2,7,950;101;85,0.4652;0.4729;0.4742
Vex,vex,MID,0.50843,0.0366673,0.0443151,0.94827,2,16,14;31;25,0.4346;0.4362;0.4501
Ekko,ekko,MID,0.506656,0.0331641,0.0238704,0.418112,2,19,25;10;133,0.4677;0.4768;0.4807
Vladimir,vladimir,MID,0.505853,0.0333847,0.0678608,0.573036,2,20,90;63;161,0.4361;0.4576;0.4653
Syndra,syndra,MID,0.505523,0.0453367,0.028190800000000002,0.934908,2,14,105;39;950,0.4461;0.4632;0.4664
Irelia,irelia,MID,0.505502,0.0300983,0.131703,0.429031,2,22,74;54;31,0.4289;0.4399;0.4450
Jarvan IV,jarvaniv,JUNGLE,0.505495,0.0719256,0.0211395,0.923979,2,10,233;11;19,0.4735;0.4764;0.4813
Nocturne,nocturne,JUNGLE,0.505357,0.0608472,0.10093100000000002,0.968012,2,11,24;11;233,0.4792;0.4804;0.4807
Hwei,hwei,MID,0.501793,0.0411211,0.0297589,0.783022,2,21,950;105;161,0.4513;0.4572;0.4610
Thresh,thresh,SUPPORT,0.501007,0.102481,0.0478388,0.991448,2,9,63;25;143,0.4628;0.4682;0.4708
LeBlanc,leblanc,MID,0.500217,0.059199299999999996,0.23406500000000002,0.864548,2,11,950;90;133,0.4320;0.4491;0.4556
Kha'Zix,khazix,JUNGLE,0.49916,0.0641343,0.0395718,0.993863,2,14,233;950;19,0.4556;0.4561;0.4661
Lux,lux,SUPPORT,0.498014,0.11516299999999999,0.136044,0.696181,2,7,60;17;902,0.4639;0.4653;0.4658
Ahri,ahri,MID,0.498008,0.0764466,0.0276033,0.956726,2,10,63;800;45,0.4607;0.4616;0.4641
Jhin,jhin,ADC,0.49644800000000006,0.153743,0.0344451,0.969599,2,8,895;67;96,0.4659;0.4722;0.4780
Mel,mel,MID,0.496214,0.0626477,0.330866,0.495307,2,9,101;105;136,0.4434;0.4466;0.4564
Akali,akali,MID,0.495321,0.0791686,0.122712,0.824337,2,12,74;133;45,0.4461;0.4566;0.4589
Katarina,katarina,MID,0.494905,0.0636908,0.0651142,0.963953,2,18,54;131;74,0.4401;0.4491;0.4503
Kai'Sa,kaisa,ADC,0.494473,0.182797,0.032556,0.967195,2,7,895;96;45,0.4559;0.4601;0.4662
Sylas,sylas,MID,0.49012999999999995,0.0736056,0.16548299999999996,0.451457,2,15,74;133;950,0.3822;0.4209;0.4302
Lee Sin,leesin,JUNGLE,0.489277,0.106584,0.130971,0.930855,2,12,950;36;233,0.4564;0.4570;0.4574
Zed,zed,MID,0.485517,0.0662793,0.2505,0.578468,2,24,54;85;14,0.4100;0.4330;0.4350
Veigar,veigar,ADC,0.536065,0.00675313,0.0283513,0.0850347,3,15,,
Nilah,nilah,ADC,0.527823,0.016247,0.026157,0.971295,3,11,45;498;235,0.4493;0.4837;0.4941
Quinn,quinn,MID,0.526683,0.00750537,0.0407407,0.203804,3,32,74;63;131,0.4038;0.4349;0.4804
Heimerdinger,heimerdinger,MID,0.525129,0.00615505,0.0485494,0.208481,3,40,10;45;25,0.4582;0.4602;0.4643
Teemo,teemo,SUPPORT,0.524337,0.0146153,0.146382,0.170357,3,16,37;60;267,0.4583;0.4714;0.4821
Singed,singed,TOP,0.524285,0.021546500000000003,0.00869078,0.860702,3,12,10;110;6,0.4671;0.4740;0.4764
Sion,sion,MID,0.523698,0.00693205,0.0202798,0.0949905,3,36,74;50;10,0.4225;0.4444;0.4448
Dr. Mundo,drmundo,JUNGLE,0.522174,0.0120562,0.0715603,0.166753,3,24,950;48;141,0.4860;0.4865;0.4887
Swain,swain,MID,0.52145,0.00887526,0.023810099999999997,0.152554,3,33,74;115;25,0.4454;0.4645;0.4733
Kled,kled,TOP,0.521226,0.0163107,0.010124,0.922998,3,23,114;27;67,0.4733;0.4790;0.4872
Sona,sona,SUPPORT,0.519967,0.0267542,0.00267195,0.989772,3,11,44;143;32,0.4849;0.4950;0.4962
Brand,brand,MID,0.518298,0.0128356,0.046985,0.186691,3,28,161;10;126,0.4641;0.4698;0.4708
Morgana,morgana,JUNGLE,0.51738,0.012684800000000001,0.322888,0.080846,3,21,950;36;143,0.4653;0.4737;0.4743
Urgot,urgot,TOP,0.517236,0.0284293,0.0168052,0.93808,3,13,83;10;36,0.4732;0.4753;0.4782
Vel'Koz,velkoz,SUPPORT,0.515343,0.0355654,0.0175826,0.65838,3,10,7;17;32,0.4657;0.4661;0.4786
Kayle,kayle,TOP,0.51495,0.0358615,0.0259077,0.742118,3,9,54;39;84,0.4514;0.4692;0.4815
Pantheon,pantheon,MID,0.514509,0.0101298,0.0392017,0.11066,3,39,74;161;50,0.4089;0.4140;0.4218
Trundle,trundle,JUNGLE,0.511818,0.029205899999999996,0.0178451,0.698003,3,18,63;143;25,0.4652;0.4735;0.4763
Anivia,anivia,MID,0.51163,0.0207666,0.0144621,0.775992,3,27,25;950;136,0.4672;0.4725;0.4727
Illaoi,illaoi,TOP,0.511161,0.0323937,0.0845678,0.956977,3,16,82;17;110,0.4372;0.4419;0.4434
Lillia,lillia,JUNGLE,0.50955,0.0359292,0.0262675,0.953592,3,16,233;131;25,0.4681;0.4775;0.4827
Ornn,ornn,TOP,0.508245,0.0297847,0.00499301,0.922644,3,21,86;240;114,0.4695;0.4735;0.4763
Shen,shen,TOP,0.50776,0.0335987,0.00895557,0.722287,3,19,27;74;875,0.4607;0.4644;0.4655
Kassadin,kassadin,MID,0.507457,0.0220223,0.015619100000000002,0.96493,3,30,80;950;133,0.4411;0.4429;0.4446
Xerath,xerath,SUPPORT,0.507077,0.0392693,0.0882409,0.506997,3,17,37;902;32,0.4561;0.4585;0.4610
Teemo,teemo,TOP,0.506984,0.054274899999999994,0.146566,0.632632,3,8,14;83;36,0.4455;0.4579;0.4637
Cho'Gath,chogath,TOP,0.506755,0.0382164,0.0152857,0.724645,3,17,36;875;240,0.4534;0.4564;0.4597
Irelia,irelia,TOP,0.505954,0.0392219,0.131718,0.559082,3,14,19;54;875,0.4342;0.4398;0.4454
Cassiopeia,cassiopeia,MID,0.505045,0.0172036,0.015190799999999999,0.663847,3,38,101;63;161,0.4501;0.4560;0.4577
Wukong,monkeyking,JUNGLE,0.504569,0.0373872,0.0137227,0.802599,3,20,102;32;36,0.4636;0.4646;0.4683
Sivir,sivir,ADC,0.504358,0.0515882,0.0440968,0.984833,3,12,96;67;45,0.4665;0.4756;0.4782
Nasus,nasus,TOP,0.504119,0.04085459999999999,0.041042,0.797329,3,18,86;14;223,0.4580;0.4585;0.4629
Twitch,twitch,ADC,0.503492,0.0399512,0.0596121,0.784037,3,14,895;96;360,0.4287;0.4782;0.4822
Aurelion Sol,aurelionsol,MID,0.503347,0.0193433,0.00844498,0.803588,3,37,38;105;950,0.4393;0.4470;0.4543
Samira,samira,ADC,0.50279,0.0512127,0.095259,0.981361,3,13,45;895;96,0.4433;0.4449;0.4580
Ekko,ekko,JUNGLE,0.502669,0.0435784,0.0238728,0.549409,3,17,33;36;233,0.4563;0.4655;0.4727
Seraphine,seraphine,SUPPORT,0.502591,0.0581831,0.0147232,0.909118,3,13,32;902;60,0.4582;0.4675;0.4680
Karma,karma,SUPPORT,0.502022,0.058255,0.0311829,0.924766,3,14,9;37;57,0.4660;0.4665;0.4717
Fiora,fiora,TOP,0.501807,0.0376029,0.0459075,0.97482,3,22,74;54;19,0.4389;0.4465;0.4501
Viktor,viktor,MID,0.499464,0.0374924,0.0202287,0.939871,3,26,101;25;10,0.4610;0.4683;0.4720
Xin Zhao,xinzhao,JUNGLE,0.499366,0.049196,0.0212649,0.904702,3,19,233;24;106,0.4560;0.4641;0.4649
Lissandra,lissandra,MID,0.499051,0.0248813,0.012262299999999999,0.894144,3,34,133;10;50,0.4410;0.4448;0.4496
Renekton,renekton,TOP,0.498347,0.0483436,0.0345791,0.93134,3,20,420;67;27,0.4243;0.4495;0.4538
Graves,graves,JUNGLE,0.497497,0.0431908,0.0211475,0.945129,3,23,36;950;233,0.4477;0.4598;0.4660
Galio,galio,MID,0.495538,0.0389042,0.025958600000000002,0.782105,3,29,50;25;950,0.4303;0.4450;0.4491
Lulu,lulu,SUPPORT,0.494903,0.0762516,0.0870818,0.984105,3,15,32;63;60,0.4578;0.4713;0.4727
Jax,jax,TOP,0.494901,0.0654724,0.127517,0.496856,3,10,86;27;36,0.4285;0.4398;0.4419
Aphelios,aphelios,ADC,0.494456,0.0551266,0.0237719,0.97935,3,16,895;45;115,0.4464;0.4553;0.4582
Nautilus,nautilus,SUPPORT,0.492464,0.09686840000000001,0.133881,0.955387,3,12,44;50;25,0.4369;0.4570;0.4585
Sylas,sylas,JUNGLE,0.491022,0.0696035,0.16547600000000004,0.42691,3,15,233;63;60,0.4466;0.4542;0.4609
Ryze,ryze,MID,0.490964,0.034932,0.00622055,0.812627,3,35,50;161;90,0.4284;0.4392;0.4466
Aatrox,aatrox,TOP,0.490589,0.0739763,0.09520970000000001,0.96094,3,15,27;54;74,0.4432;0.4475;0.4545
Darius,darius,TOP,0.488705,0.0796204,0.179715,0.919847,3,11,67;74;83,0.4326;0.4485;0.4493
Lucian,lucian,ADC,0.487422,0.0769335,0.0347931,0.955289,3,17,45;96;22,0.4433;0.4523;0.4670
Shaco,shaco,JUNGLE,0.487387,0.0517178,0.354942,0.671732,3,22,233;131;17,0.4467;0.4552;0.4606
Yone,yone,MID,0.48017400000000005,0.0669108,0.0634843,0.568231,3,31,10;80;711,0.4434;0.4488;0.4501
Orianna,orianna,MID,0.479516,0.0553571,0.0134486,0.960477,3,41,161;136;45,0.4239;0.4367;0.4470
Taric,taric,SUPPORT,0.524213,0.0116744,0.00227523,0.945338,4,22,910;17;16,0.4552;0.4765;0.4806
Kennen,kennen,MID,0.523226,0.00530421,0.0103089,0.233457,4,43,31;74;10,0.4202;0.4304;0.4444
