apiname_guess,key_lower,role,win_rate_role,pick_rate_role,ban_rate_role,role_rate,tier_role,rank_role,counters_ids,counters_wr
Teemo,teemo,JUNGLE,0.513276,0.0114584,0.146256,0.13356,4,27,25;20;143,0.4510;0.4560;0.4577
Janna,janna,SUPPORT,0.51317,0.0236113,0.00449734,0.989001,4,18,267;37;7,0.4803;0.4809;0.4825
Cho'Gath,chogath,MID,0.511599,0.00687928,0.015210099999999999,0.130442,4,48,10;115;50,0.4393;0.4482;0.4490
Warwick,warwick,TOP,0.511496,0.0194584,0.112731,0.234178,4,24,74;69;50,0.4282;0.4370;0.4507
Mel,mel,ADC,0.511453,0.011827399999999998,0.329747,0.09351,4,19,429;67;96,0.4618;0.4767;0.4773
Zilean,zilean,SUPPORT,0.510036,0.0206471,0.00733132,0.869601,4,25,60;17;142,0.4613;0.4804;0.4810
Maokai,maokai,SUPPORT,0.509274,0.0189553,0.0031866,0.727875,4,30,44;25;902,0.4380;0.4667;0.4692
Poppy,poppy,SUPPORT,0.506603,0.0218894,0.0267461,0.54461,4,27,902;57;17,0.4569;0.4682;0.4716
Shyvana,shyvana,JUNGLE,0.506435,0.0142786,0.0030429799999999994,0.919299,4,34,36;11;106,0.4556;0.4642;0.4695
Olaf,olaf,TOP,0.505083,0.0174871,0.0114524,0.805124,4,32,420;67;875,0.4525;0.4575;0.4596
Shaco,shaco,SUPPORT,0.504894,0.0221002,0.35483800000000004,0.287046,4,21,37;902;40,0.4284;0.4571;0.4576
Heimerdinger,heimerdinger,TOP,0.504575,0.0185297,0.0487371,0.627631,4,30,157;14;41,0.4526;0.4539;0.4593
Quinn,quinn,TOP,0.504,0.026616299999999996,0.0408706,0.722751,4,25,54;39;36,0.4265;0.4521;0.4529
Senna,senna,ADC,0.503786,0.0169491,0.014460300000000002,0.278643,4,24,45;96;29,0.4395;0.4808;0.4817
Vayne,vayne,TOP,0.503753,0.0172238,0.0626192,0.186379,4,31,54;17;133,0.3890;0.3995;0.4256
Zeri,zeri,ADC,0.502298,0.020065,0.0026710299999999996,0.961982,4,23,45;96;895,0.4597;0.4614;0.4694
Fiddlesticks,fiddlesticks,JUNGLE,0.502291,0.024702800000000004,0.0127238,0.662687,4,25,32;233;36,0.4585;0.4592;0.4670
Elise,elise,JUNGLE,0.501839,0.0168027,0.0133174,0.672406,4,35,36;17;233,0.4474;0.4556;0.4557
Braum,braum,SUPPORT,0.501538,0.0396093,0.0290845,0.995839,4,20,910;25;9,0.4591;0.4595;0.4604
Nunu u0026 Willump,nunu,JUNGLE,0.50051,0.0221328,0.00587799,0.884821,4,29,233;33;11,0.4524;0.4628;0.4658
Naafiri,naafiri,JUNGLE,0.500476,0.025676199999999996,0.052146200000000004,0.546615,4,26,56;131;102,0.4482;0.4501;0.4550
Ziggs,ziggs,MID,0.499902,0.0123477,0.0140387,0.281243,4,47,91;80;157,0.4214;0.4650;0.4663
Bard,bard,SUPPORT,0.499427,0.0395077,0.010759300000000001,0.988464,4,24,17;44;63,0.4494;0.4681;0.4689
Bel'Veth,belveth,JUNGLE,0.497883,0.0167544,0.025593600000000005,0.968245,4,37,33;233;32,0.4316;0.4621;0.4650
Swain,swain,SUPPORT,0.49709,0.0377075,0.0239034,0.648143,4,26,63;267;902,0.4453;0.4480;0.4503
Talon,talon,MID,0.496714,0.01317,0.0211082,0.338456,4,50,74;10;54,0.3759;0.4425;0.4447
Zac,zac,JUNGLE,0.496674,0.0237118,0.0109385,0.708647,4,31,25;876;141,0.4467;0.4498;0.4623
Akali,akali,TOP,0.496458,0.0162405,0.122561,0.169103,4,38,14;6;420,0.4445;0.4465;0.4522
Tryndamere,tryndamere,TOP,0.49594,0.0324932,0.023007199999999995,0.777819,4,26,54;17;19,0.4231;0.4438;0.4569
Tahm Kench,tahmkench,SUPPORT,0.495519,0.0305265,0.0258259,0.704903,4,32,44;60;63,0.4584;0.4639;0.4660
Pantheon,pantheon,SUPPORT,0.495432,0.0365039,0.0393433,0.398777,4,29,902;44;888,0.4505;0.4587;0.4605
Udyr,udyr,JUNGLE,0.494746,0.0179297,0.00943446,0.7876,4,38,233;427;24,0.4597;0.4619;0.4649
Evelynn,evelynn,JUNGLE,0.494556,0.0262019,0.026021000000000002,0.973697,4,30,23;33;233,0.4448;0.4469;0.4495
Xayah,xayah,ADC,0.494373,0.0391386,0.0060473,0.99194,4,20,115;901;45,0.4648;0.4658;0.4705
Pantheon,pantheon,TOP,0.49414700000000006,0.0206634,0.0393202,0.225731,4,35,83;50;14,0.4273;0.4377;0.4424
Annie,annie,MID,0.49414,0.0157003,0.0069854,0.813973,4,49,80;134;25,0.4331;0.4490;0.4530
Senna,senna,SUPPORT,0.493848,0.0422037,0.0144719,0.69383,4,28,32;143;63,0.4536;0.4643;0.4651
Akshan,akshan,MID,0.493601,0.0204441,0.0199825,0.871213,4,44,54;74;85,0.4373;0.4402;0.4440
Blitzcrank,blitzcrank,SUPPORT,0.492598,0.061188099999999995,0.171433,0.990038,4,19,44;17;89,0.4334;0.4525;0.4627
Talon,talon,JUNGLE,0.49219900000000005,0.0251524,0.021138900000000002,0.646394,4,36,33;23;32,0.4327;0.4432;0.4433
Draven,draven,ADC,0.491501,0.0381128,0.120047,0.95391,4,22,45;800;895,0.4127;0.4423;0.4584
Gangplank,gangplank,TOP,0.491228,0.0287202,0.0170664,0.889762,4,33,240;10;36,0.4463;0.4465;0.4528
Kindred,kindred,JUNGLE,0.490335,0.0291938,0.0156632,0.972951,4,33,33;23;24,0.4440;0.4521;0.4530
Vladimir,vladimir,TOP,0.490141,0.02437,0.0678435,0.418302,4,34,83;31;39,0.4024;0.4498;0.4514
Tristana,tristana,ADC,0.48935,0.06210059999999999,0.030984400000000002,0.899686,4,18,45;895;800,0.4356;0.4580;0.4606
Zoe,zoe,MID,0.489063,0.0288724,0.029587,0.800259,4,42,14;74;90,0.4216;0.4255;0.4303
Pyke,pyke,SUPPORT,0.488688,0.0626223,0.183368,0.981097,4,23,17;57;60,0.4450;0.4461;0.4517
Yasuo,yasuo,TOP,0.488161,0.033051,0.21321399999999996,0.226871,4,27,875;27;86,0.4349;0.4377;0.4475
Sejuani,sejuani,JUNGLE,0.48812399999999995,0.0192998,0.00279682,0.886154,4,41,876;36;63,0.4292;0.4342;0.4408
Gnar,gnar,TOP,0.487909,0.0279547,0.00781263,0.971317,4,36,54;69;83,0.4295;0.4435;0.4476
Ambessa,ambessa,TOP,0.48773099999999997,0.0416223,0.0544448,0.888197,4,28,19;17;83,0.4328;0.4471;0.4484
Riven,riven,TOP,0.48631299999999994,0.0287444,0.0106113,0.921943,4,37,54;86;31,0.4225;0.4337;0.4493
Nidalee,nidalee,JUNGLE,0.485647,0.0244761,0.0113728,0.802717,4,39,78;233;33,0.4327;0.4370;0.4385
Hecarim,hecarim,JUNGLE,0.484987,0.0238511,0.0140831,0.991451,4,40,32;23;25,0.4530;0.4553;0.4571
Vi,vi,JUNGLE,0.484861,0.0377516,0.00908253,0.935243,4,32,143;233;106,0.4443;0.4493;0.4577
Aurora,aurora,MID,0.48448399999999997,0.0303387,0.0349546,0.771767,4,45,45;131;105,0.4517;0.4541;0.4548
Twisted Fate,twistedfate,MID,0.481717,0.0343239,0.0062393,0.874141,4,46,950;25;50,0.4260;0.4441;0.4470
Yone,yone,TOP,0.481342,0.0483562,0.0634804,0.410659,4,29,39;875;19,0.4250;0.4399;0.4454
Zed,zed,JUNGLE,0.480657,0.0442894,0.250468,0.386546,4,28,11;36;233,0.4458;0.4492;0.4519
Qiyana,qiyana,MID,0.480652,0.021386100000000005,0.0497408,0.371004,4,51,54;74;31,0.3958;0.4110;0.4171
Mel,mel,SUPPORT,0.478653,0.0501983,0.330874,0.396879,4,31,37;902;89,0.4383;0.4400;0.4485
Ezreal,ezreal,ADC,0.472841,0.102306,0.0296994,0.945937,4,21,895;67;96,0.4305;0.4398;0.4499
Elise,elise,SUPPORT,0.51572,0.00740596,0.0132575,0.29637,5,36,9;902;143,0.4645;0.4683;0.4744
Fiddlesticks,fiddlesticks,SUPPORT,0.513118,0.00807661,0.012677,0.216666,5,38,910;143;902,0.4478;0.4536;0.4687
Amumu,amumu,SUPPORT,0.51256,0.00637146,0.030659299999999997,0.126087,5,41,888;57;9,0.4603;0.4653;0.4672
LeBlanc,leblanc,SUPPORT,0.508558,0.0080125,0.233019,0.117015,5,37,78;9;3,0.4465;0.4563;0.4649
Brand,brand,JUNGLE,0.50741,0.00679399,0.04667000000000001,0.0988167,5,42,950;36;23,0.4482;0.4499;0.4545
Shen,shen,SUPPORT,0.505444,0.00965087,0.00892838,0.20747,5,40,910;16;44,0.4412;0.4627;0.4649
Cassiopeia,cassiopeia,TOP,0.505294,0.006755100000000001,0.0151122,0.260664,5,45,83;2;36,0.4441;0.4481;0.4510
Zyra,zyra,JUNGLE,0.504813,0.007164779999999999,0.0458265,0.13162,5,43,33;102;9,0.4525;0.4527;0.4566
Neeko,neeko,MID,0.5017,0.006162449999999999,0.0187998,0.152691,5,52,161;127;50,0.4372;0.4452;0.4518
Tahm Kench,tahmkench,TOP,0.501071,0.011287200000000002,0.025757099999999998,0.260637,5,41,74;83;420,0.4099;0.4204;0.4339
Renata Glasc,renata,SUPPORT,0.500665,0.010435300000000002,0.00201878,0.993784,5,43,161;17;902,0.4516;0.4523;0.4572
Poppy,poppy,TOP,0.500135,0.01069,0.0267012,0.265967,5,44,69;74;901,0.4397;0.4458;0.4508
Ivern,ivern,JUNGLE,0.499923,0.00828122,0.00347453,0.715005,5,45,17;33;23,0.4261;0.4416;0.4438
Poppy,poppy,JUNGLE,0.499713,0.00725922,0.026610599999999998,0.180609,5,47,25;33;48,0.4252;0.4282;0.4678
Swain,swain,TOP,0.499461,0.00698158,0.0237025,0.120004,5,48,39;83;84,0.4408;0.4417;0.4423
Tryndamere,tryndamere,JUNGLE,0.49941899999999995,0.00567315,0.0228962,0.135803,5,50,17;75;60,0.4006;0.4123;0.4583
Wukong,monkeyking,TOP,0.498725,0.00703482,0.013657200000000001,0.151018,5,51,50;82;27,0.4309;0.4360;0.4419
Hwei,hwei,SUPPORT,0.49820100000000006,0.006754640000000001,0.029623,0.128621,5,46,78;60;17,0.4430;0.4479;0.4519
Ryze,ryze,TOP,0.497973,0.0074798,0.00617993,0.174003,5,49,39;157;83,0.4208;0.4342;0.4458
Galio,galio,SUPPORT,0.4971400000000001,0.00780939,0.025788,0.156995,5,45,910;98;40,0.4392;0.4504;0.4540
Nasus,nasus,JUNGLE,0.49436300000000005,0.00647747,0.040653699999999994,0.126416,5,51,63;36;11,0.4062;0.4404;0.4571
Kennen,kennen,TOP,0.4933759999999999,0.0159959,0.0104197,0.704039,5,40,83;36;75,0.4183;0.4239;0.4385
Rell,rell,SUPPORT,0.492729,0.0292556,0.010932500000000001,0.984462,5,33,63;44;143,0.4413;0.4425;0.4455
Rek'Sai,reksai,JUNGLE,0.492097,0.0120525,0.00824685,0.700486,5,44,23;36;17,0.4205;0.4384;0.4437
Zoe,zoe,SUPPORT,0.490534,0.0063938,0.0294264,0.177217,5,48,3;60;111,0.3913;0.4286;0.4525
Kayn,kayn,TOP,0.489057,0.00762469,0.0783198,0.0806335,5,53,48;13;62,0.3966;0.4000;0.4077
Rakan,rakan,SUPPORT,0.487978,0.0332544,0.0038217199999999994,0.984696,5,34,63;25;26,0.4498;0.4518;0.4518
Veigar,veigar,SUPPORT,0.48751600000000006,0.00838514,0.0284485,0.105585,5,47,32;35;7,0.4240;0.4366;0.4379
Jayce,jayce,MID,0.487284,0.00677582,0.0261568,0.187764,5,55,54;14;711,0.4099;0.4106;0.4338
Trundle,trundle,TOP,0.487234,0.011413,0.0178168,0.272762,5,50,67;133;54,0.4359;0.4366;0.4417
Malphite,malphite,SUPPORT,0.485929,0.0164864,0.11233399999999999,0.14912,5,44,17;40;50,0.4407;0.4483;0.4510
Alistar,alistar,SUPPORT,0.48570399999999997,0.037053,0.0147274,0.961165,5,35,63;161;25,0.4344;0.4490;0.4513
Neeko,neeko,SUPPORT,0.48497500000000004,0.0318655,0.0189203,0.789552,5,39,63;143;25,0.4467;0.4482;0.4604
Karthus,karthus,JUNGLE,0.484204,0.0148914,0.00784365,0.766593,5,48,11;36;75,0.4268;0.4343;0.4371
Camille,camille,TOP,0.48406999999999994,0.0216862,0.00867586,0.875011,5,43,17;82;223,0.4313;0.4382;0.4390
Aurora,aurora,TOP,0.483159,0.00783751,0.0347631,0.199374,5,54,157;13;27,0.4395;0.4424;0.4435
Varus,varus,TOP,0.480699,0.0077469,0.00923448,0.150722,5,55,39;48;2,0.4196;0.4270;0.4284
Gragas,gragas,TOP,0.4801909999999999,0.0184114,0.00717786,0.607774,5,46,27;83;36,0.4219;0.4263;0.4386
Rumble,rumble,TOP,0.479673,0.0153952,0.00547549,0.793557,5,52,223;14;74,0.4323;0.4330;0.4394
Jayce,jayce,TOP,0.478037,0.0285853,0.0262025,0.792122,5,42,39;133;83,0.4291;0.4299;0.4323
Volibear,volibear,TOP,0.477952,0.0276465,0.0881995,0.337632,5,39,10;133;17,0.4132;0.4216;0.4285
Smolder,smolder,MID,0.476074,0.0131592,0.0445029,0.115867,5,53,133;80;800,0.3833;0.3963;0.4160
Gragas,gragas,JUNGLE,0.475752,0.00629276,0.007113049999999999,0.207728,5,53,427;32;48,0.3300;0.4275;0.4371
Yuumi,yuumi,SUPPORT,0.473212,0.0436764,0.0512443,0.984345,5,42,44;32;89,0.4171;0.4203;0.4357
Pantheon,pantheon,JUNGLE,0.472772,0.023806399999999995,0.0393112,0.260066,5,46,36;23;32,0.4098;0.4301;0.4440
Taliyah,taliyah,MID,0.472434,0.016438,0.00304205,0.739617,5,54,85;45;55,0.4086;0.4237;0.4243
Smolder,smolder,TOP,0.471427,0.00859473,0.04430239999999999,0.0756771,5,57,39;157;54,0.3414;0.4117;0.4182
Corki,corki,ADC,0.470627,0.0171805,0.00360774,0.810092,5,27,45;96;115,0.4075;0.4173;0.4308
Yunara,yunara,ADC,0.4639,0.0531747,0.0625859,0.97994,5,25,45;895;96,0.3997;0.4240;0.4350
Kalista,kalista,ADC,0.46382200000000007,0.00984298,0.0029162500000000004,0.873466,5,28,96;895;22,0.4380;0.4385;0.4426
Varus,varus,ADC,0.463432,0.0383812,0.00930774,0.746737,5,26,96;800;115,0.4327;0.4410;0.4421
Rengar,rengar,JUNGLE,0.461721,0.0349415,0.0388128,0.902098,5,49,23;19;11,0.4098;0.4114;0.4153
Tristana,tristana,MID,0.461556,0.00564885,0.0307168,0.0818379,5,57,85;133;63,0.3750;0.3859;0.4000
K'Sante,ksante,TOP,0.457616,0.0389477,0.021712500000000003,0.933126,5,47,10;27;67,0.3780;0.4057;0.4061
Gwen,gwen,TOP,0.457377,0.0185191,0.022847400000000004,0.76766,5,56,27;86;74,0.3880;0.3997;0.4009
Qiyana,qiyana,JUNGLE,0.45071,0.0343007,0.0497404,0.595044,5,52,32;17;36,0.4074;0.4079;0.4086
Azir,azir,MID,0.4498710000000001,0.0186699,0.00493492,0.933161,5,56,161;45;63,0.3990;0.4067;0.4080
Skarner,skarner,JUNGLE,0.44544200000000006,0.00530941,0.00253574,0.802512,5,54,32;106;25,0.3930;0.3965;0.4055
